INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../../104TemplatizedDecimationFIR/Tester.cpp in debug mode
   Compiling ../../../../../104TemplatizedDecimationFIR/fir_filter_decimate.cpp in debug mode
   Generating csim.exe
>> Start test!
>> 177 -0.1796875 0.01171875
>> 178 -0.359375 -0.17578125
>> 179 -0.53125 -0.35546875
>> 180 -0.6875 -0.521484375
>> 181 -0.8125 -0.66796875
>> 182 -0.90625 -0.7890625
>> 183 -0.9609375 -0.880859375
>> 184 -0.984375 -0.939453125
>> 185 -0.96875 -0.9609375
>> 186 -0.9140625 -0.9453125
>> 187 -0.828125 -0.89453125
>> 188 -0.7109375 -0.80859375
>> 189 -0.5625 -0.693359375
>> 190 -0.3984375 -0.55078125
>> 191 -0.2109375 -0.38671875
>> 192 -0.0234375 -0.208984375
>> 193 0.171875 -0.021484375
>> 194 0.3515625 0.1640625
>> 195 0.5234375 0.34375
>> 196 0.671875 0.51171875
>> 197 0.796875 0.658203125
>> 198 0.890625 0.78125
>> 199 0.953125 0.873046875
>> 200 0.9765625 0.931640625
>> 201 0.9609375 0.953125
>> 202 0.90625 0.9375
>> 203 0.8203125 0.88671875
>> 204 0.703125 0.80078125
>> 205 0.5546875 0.685546875
>> 206 0.390625 0.54296875
>> 207 0.2109375 0.37890625
>> 208 0.015625 0.201171875
>> 209 -0.171875 0.015625
>> 210 -0.359375 -0.169921875
>> 211 -0.53125 -0.349609375
>> 212 -0.6796875 -0.517578125
>> 213 -0.8046875 -0.666015625
>> 214 -0.8984375 -0.7890625
>> 215 -0.9609375 -0.880859375
>> 216 -0.984375 -0.939453125
>> 217 -0.96875 -0.9609375
>> 218 -0.9140625 -0.9453125
>> 219 -0.828125 -0.89453125
>> 220 -0.7109375 -0.80859375
>> 221 -0.5625 -0.693359375
>> 222 -0.3984375 -0.552734375
>> 223 -0.21875 -0.390625
>> 224 -0.0234375 -0.212890625
>> 225 0.1640625 -0.02734375
>> 226 0.3515625 0.16015625
>> 227 0.5234375 0.341796875
>> 228 0.671875 0.509765625
>> 229 0.796875 0.658203125
>> 230 0.890625 0.78125
>> 231 0.953125 0.873046875
>> 232 0.9765625 0.931640625
>> 233 0.9609375 0.953125
>> 234 0.90625 0.9375
>> 235 0.8203125 0.88671875
>> 236 0.703125 0.80078125
>> 237 0.5625 0.685546875
>> 238 0.390625 0.544921875
>> 239 0.2109375 0.3828125
>> 240 0.015625 0.205078125
>> 241 -0.171875 0.01953125
>> 242 -0.359375 -0.16796875
>> 243 -0.53125 -0.349609375
>> 244 -0.6796875 -0.517578125
>> 245 -0.8046875 -0.666015625
>> 246 -0.8984375 -0.7890625
>> 247 -0.9609375 -0.880859375
>> 248 -0.984375 -0.939453125
>> 249 -0.96875 -0.9609375
>> 250 -0.921875 -0.947265625
>> 251 -0.8359375 -0.896484375
>> 252 -0.7109375 -0.810546875
>> 253 -0.5703125 -0.6953125
>> 254 -0.3984375 -0.552734375
>> 255 -0.21875 -0.390625
>> 256 -0.03125 -0.212890625
>> 257 0.1640625 -0.02734375
>> 258 0.3515625 0.16015625
>> 259 0.515625 0.341796875
>> 260 0.671875 0.5078125
>> 261 0.796875 0.65625
>> 262 0.890625 0.779296875
>> 263 0.953125 0.87109375
>> 264 0.9765625 0.931640625
>> 265 0.9609375 0.953125
>> 266 0.9140625 0.939453125
>> 267 0.828125 0.890625
>> 268 0.7109375 0.806640625
>> 269 0.5625 0.693359375
>> 270 0.3984375 0.55078125
>> 271 0.2109375 0.38671875
>> 272 0.0234375 0.208984375
>> 273 -0.171875 0.021484375
>> 274 -0.3515625 -0.166015625
>> 275 -0.5234375 -0.345703125
>> 276 -0.6796875 -0.513671875
>> 277 -0.8046875 -0.66015625
>> 278 -0.8984375 -0.78125
>> 279 -0.9609375 -0.875
>> 280 -0.984375 -0.935546875
>> 281 -0.96875 -0.9609375
>> 282 -0.921875 -0.94921875
>> 283 -0.8359375 -0.900390625
>> 284 -0.71875 -0.81640625
>> 285 -0.5703125 -0.701171875
>> 286 -0.40625 -0.55859375
>> 287 -0.21875 -0.39453125
>> 288 -0.03125 -0.216796875
>> 289 0.15625 -0.03125
>> 290 0.34375 0.154296875
>> 291 0.515625 0.333984375
>> 292 0.671875 0.501953125
>> 293 0.796875 0.650390625
>> 294 0.890625 0.7734375
>> 295 0.953125 0.8671875
>> 296 0.9765625 0.927734375
>> 297 0.9609375 0.953125
>> 298 0.9140625 0.94140625
>> 299 0.828125 0.892578125
>> Comparing against output data...
正在比較檔案 .\out.dat 和 ..\..\..\OUT_GOLD.DAT
FC: 找不到相異處

>> Test passed!
------------------------
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
