INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../../ManCode/Tester.cpp in debug mode
   Compiling ../../../../../ManCode/manual_decimate.cpp in debug mode
   Generating csim.exe
>> Start test!
>> 180 0.546875 -0.64453125
>> 181 0.546875 -0.77734375
>> 182 0.4609375 -0.87890625
>> 183 0.4609375 -0.9453125
>> 184 0.375 -0.9765625
>> 185 0.375 -0.970703125
>> 186 0.28125 -0.92578125
>> 187 0.28125 -0.84765625
>> 188 0.1953125 -0.73828125
>> 189 0.1953125 -0.599609375
>> 190 0.09375 -0.4375
>> 191 0.09375 -0.2578125
>> 192 0 -0.0703125
>> 193 0 0.12109375
>> 194 -0.09375 0.306640625
>> 195 -0.09375 0.478515625
>> 196 -0.1875 0.634765625
>> 197 -0.1875 0.765625
>> 198 -0.28125 0.8671875
>> 199 -0.28125 0.935546875
>> 200 -0.375 0.96875
>> 201 -0.375 0.962890625
>> 202 -0.4609375 0.91796875
>> 203 -0.4609375 0.83984375
>> 204 -0.546875 0.73046875
>> 205 -0.546875 0.591796875
>> 206 -0.625 0.4296875
>> 207 -0.625 0.251953125
>> 208 -0.6953125 0.064453125
>> 209 -0.6953125 -0.125
>> 210 -0.7578125 -0.310546875
>> 211 -0.7578125 -0.486328125
>> 212 -0.8125 -0.642578125
>> 213 -0.8125 -0.7734375
>> 214 -0.8671875 -0.875
>> 215 -0.8671875 -0.943359375
>> 216 -0.90625 -0.9765625
>> 217 -0.90625 -0.970703125
>> 218 -0.9375 -0.92578125
>> 219 -0.9375 -0.84765625
>> 220 -0.9609375 -0.73828125
>> 221 -0.9609375 -0.599609375
>> 222 -0.9765625 -0.439453125
>> 223 -0.9765625 -0.263671875
>> 224 -0.984375 -0.07421875
>> 225 -0.984375 0.1171875
>> 226 -0.9765625 0.302734375
>> 227 -0.9765625 0.478515625
>> 228 -0.96875 0.634765625
>> 229 -0.96875 0.765625
>> 230 -0.9453125 0.8671875
>> 231 -0.9453125 0.935546875
>> 232 -0.9140625 0.96875
>> 233 -0.9140625 0.962890625
>> 234 -0.8671875 0.91796875
>> 235 -0.8671875 0.83984375
>> 236 -0.8203125 0.73046875
>> 237 -0.8203125 0.59375
>> 238 -0.765625 0.43359375
>> 239 -0.765625 0.255859375
>> 240 -0.703125 0.06640625
>> 241 -0.703125 -0.125
>> 242 -0.6328125 -0.310546875
>> 243 -0.6328125 -0.486328125
>> 244 -0.5546875 -0.642578125
>> 245 -0.5546875 -0.7734375
>> 246 -0.46875 -0.875
>> 247 -0.46875 -0.943359375
>> 248 -0.3828125 -0.9765625
>> 249 -0.3828125 -0.970703125
>> 250 -0.296875 -0.9296875
>> 251 -0.296875 -0.853515625
>> 252 -0.203125 -0.740234375
>> 253 -0.203125 -0.6015625
>> 254 -0.109375 -0.44140625
>> 255 -0.109375 -0.263671875
>> 256 -0.0078125 -0.076171875
>> 257 -0.0078125 0.115234375
>> 258 0.0859375 0.302734375
>> 259 0.0859375 0.4765625
>> 260 0.1796875 0.630859375
>> 261 0.1796875 0.763671875
>> 262 0.2734375 0.8671875
>> 263 0.2734375 0.935546875
>> 264 0.3671875 0.96875
>> 265 0.3671875 0.962890625
>> 266 0.453125 0.921875
>> 267 0.453125 0.84765625
>> 268 0.53125 0.73828125
>> 269 0.53125 0.599609375
>> 270 0.609375 0.4375
>> 271 0.609375 0.2578125
>> 272 0.6875 0.0703125
>> 273 0.6875 -0.12109375
>> 274 0.75 -0.30859375
>> 275 0.75 -0.48046875
>> 276 0.8046875 -0.63671875
>> 277 0.8046875 -0.76953125
>> 278 0.859375 -0.87109375
>> 279 0.859375 -0.94140625
>> 280 0.8984375 -0.9765625
>> 281 0.8984375 -0.97265625
>> 282 0.9296875 -0.931640625
>> 283 0.9296875 -0.85546875
>> 284 0.953125 -0.74609375
>> 285 0.953125 -0.607421875
>> 286 0.96875 -0.4453125
>> 287 0.96875 -0.265625
>> 288 0.9765625 -0.078125
>> 289 0.9765625 0.109375
>> 290 0.96875 0.294921875
>> 291 0.96875 0.470703125
>> 292 0.9609375 0.62890625
>> 293 0.9609375 0.76171875
>> 294 0.9375 0.86328125
>> 295 0.9375 0.93359375
>> 296 0.90625 0.96875
>> 297 0.90625 0.96484375
>> 298 0.8671875 0.923828125
>> 299 0.8671875 0.84765625
>> Comparing against output data...
正在比較檔案 .\out.dat 和 ..\..\..\OUT_GOLD.DAT
FC: 找不到相異處

>> Test passed!
------------------------
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
